name,nationality,position,division,opponent,match_date,phase,sets_won,sets_played,points_scored,attack_kills,attack_faults,attack_shots,attack_total,block_kills,block_faults,block_rebounds,block_total,serve_aces,serve_errors,serve_attempts,serve_total,rec_excellents,rec_faults,rec_attempts,rec_total,dig_excellents,dig_faults,dig_attempts,dig_total,set_excellents,set_faults,set_stills,set_total
Matias SANCHEZ,Argentina,Setter,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,1,3,4,0,0,0,0,0,0,0,0,2,0,1,3
Joaquin GALLEGO,Argentina,Middle Blocker,Men,United States,2022-07-10,Pool,2,5,11,8,0,4,12,3,7,4,14,0,1,12,13,1,1,2,4,1,2,2,5,0,0,2,2
Agustin LOSER,Argentina,Middle Blocker,Men,United States,2022-07-10,Pool,2,5,11,9,3,7,19,2,7,3,12,0,3,16,19,0,0,1,1,4,1,3,8,0,0,0,0
Santiago DANANI,Argentina,Libero,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,9,21,12,4,2,18,0,0,6,6
Nicolás LAZO,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,4,4,2,4,10,0,1,0,1,0,1,2,3,4,0,5,9,1,1,1,3,0,0,2,2
Bruno LIMA,Argentina,Opposite Spiker,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,16,16,6,14,36,0,6,2,8,0,5,11,16,3,0,16,19,4,4,2,10,1,0,2,3
Luciano DE CECCO,Argentina,Setter,Men,United States,2022-07-10,Pool,2,5,3,0,1,2,3,2,5,5,12,1,3,19,23,0,0,0,0,3,0,2,5,55,1,53,109
Luciano PALONSKY,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,24,24,3,10,37,0,4,2,6,0,5,9,14,2,0,7,9,6,3,1,10,0,0,1,1
Luciano VICENTIN,Argentina,Outside Hitter,Men,United States,2022-07-10,Pool,2,5,6,5,3,8,16,0,1,0,1,1,5,7,13,8,1,20,29,4,2,0,6,0,0,4,4
Martin RAMOS,Argentina,Middle Blocker,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Franco MASSIMINO,Argentina,Libero,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicolas ZERBA,Argentina,Middle Blocker,Men,United States,2022-07-10,Pool,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matias SANCHEZ,Argentina,Setter,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,0,1,2
Joaquin GALLEGO,Argentina,Middle Blocker,Men,France,2022-07-09,Pool,3,4,6,5,1,4,10,1,2,4,7,0,2,5,7,0,0,1,1,2,0,1,3,0,0,1,1
Agustin LOSER,Argentina,Middle Blocker,Men,France,2022-07-09,Pool,3,4,12,10,0,3,13,1,6,5,12,1,5,10,16,1,0,1,2,1,1,0,2,0,0,4,4
Santiago DANANI,Argentina,Libero,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,13,16,8,6,3,17,0,0,8,8
Nicolás LAZO,Argentina,Outside Hitter,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manuel ARMOA,Argentina,Outside Hitter,Men,France,2022-07-09,Pool,3,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Bruno LIMA,Argentina,Opposite Spiker,Men,France,2022-07-09,Pool,3,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ezequiel PALACIOS,Argentina,Outside Hitter,Men,France,2022-07-09,Pool,3,4,17,15,3,11,29,1,3,9,13,1,6,8,15,3,2,15,20,10,2,4,16,0,0,2,2
