first_name,last_name,nationality,position,opponent,match_date,points_scored,attack_kills,attack_faults,attack_shots,block_kills,block_faults,block_rebounds,serve_aces,serve_errors,serve_attempts,rec_excellents,rec_faults,rec_attempts,dig_excellents,dig_faults,dig_attempts,set_excellents,set_faults,set_stills
Matias,Sanchez,Argentina,Setter,United States,10/07/2022,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,1
Matias,Sanchez,Argentina,Setter,France,09/07/2022,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1
Matias,Sanchez,Argentina,Setter,Australia,08/07/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matias,Sanchez,Argentina,Setter,Canada,05/07/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Matias,Sanchez,Argentina,Setter,Netherlands,25/06/2022,1,1,0,1,0,3,7,0,1,14,0,1,1,4,7,4,35,0,59
Matias,Sanchez,Argentina,Setter,China,24/06/2022,1,1,0,0,0,1,1,0,0,17,0,0,0,6,1,1,36,0,41
Matias,Sanchez,Argentina,Setter,Slovenia,23/06/2022,2,1,1,0,1,1,1,0,2,6,0,0,0,7,2,0,25,0,42
Matias,Sanchez,Argentina,Setter,Japan,21/06/2022,1,1,0,0,0,1,0,0,2,13,0,0,1,4,0,1,25,0,44
Matias,Sanchez,Argentina,Setter,Italy,12/06/2022,0,0,0,1,0,4,0,0,1,9,0,0,0,7,0,4,47,0,30
Matias,Sanchez,Argentina,Setter,Serbia,10/06/2022,1,0,1,0,1,0,0,0,0,4,0,0,0,3,0,0,27,0,19
Matias,Sanchez,Argentina,Setter,Germany,09/06/2022,0,0,0,2,0,1,0,0,0,10,0,0,1,6,0,2,23,0,44
Matias,Sanchez,Argentina,Setter,Poland,08/06/2022,2,1,0,0,0,0,0,1,1,8,0,0,0,4,3,3,31,0,31
Joaquin,Gallego,Argentina,Middle blocker,United States,10/07/2022,11,8,0,4,3,7,4,0,1,12,1,1,2,1,2,2,0,0,2
