team,opponent,division,phase,sets_won,sets_played,sets_scores,team_attacks,team_blocks,team_aces,opp_errors,team_total_points,team_digs,team_receptions,team_sets,team_err_committed,opp_points
Thailand,Bulgaria,Women,Pool 2,3,3,"[25, 25, 25]",47,8,5,15,75,69,53,88,14,62
Bulgaria,Thailand,Women,Pool 2,0,3,"[20, 22, 20]",44,3,1,14,62,61,65,86,15,75
Türkiye,Italy,Women,Pool 2,3,3,"[25, 25, 25]",46,7,4,18,75,44,52,90,14,58
Italy,Türkiye,Women,Pool 2,0,3,"[20, 19, 19]",37,6,1,14,58,41,66,93,18,75
Germany,Brazil,Women,Pool 1,1,4,"[27, 25, 25, 21]",64,6,5,23,98,97,95,154,24,104
Brazil,Germany,Women,Pool 1,3,4,"[29, 23, 27, 25]",64,13,3,24,104,100,88,157,23,98
United States,Dominican Republic,Women,Pool 1,3,3,"[25, 25, 25]",47,9,4,15,75,62,54,90,17,56
Dominican Republic,United States,Women,Pool 1,0,3,"[21, 17, 18]",32,7,0,17,56,60,66,97,15,75
Belgium,Serbia,Women,Pool 2,1,4,"[25, 16, 17, 22]",54,9,5,12,80,59,84,155,14,89
Serbia,Belgium,Women,Pool 2,3,4,"[14, 25, 25, 25]",62,10,3,14,89,83,73,127,12,80
China,Netherlands,Women,Pool 2,3,4,"[16, 25, 25, 25]",68,11,3,9,91,98,91,143,14,93
Netherlands,China,Women,Pool 2,1,4,"[25, 22, 23, 23]",69,9,1,14,93,118,86,134,9,91
Poland,Canada,Women,Pool 1,3,4,"[20, 25, 25, 25]",46,9,6,34,95,72,71,120,31,90
Canada,Poland,Women,Pool 1,1,4,"[25, 22, 23, 20]",49,7,3,31,90,80,81,117,34,95
Korea,Japan,Women,Pool 1,0,3,"[17, 16, 11]",26,8,2,8,44,66,69,107,19,75
Japan,Korea,Women,Pool 1,3,3,"[25, 25, 25]",49,5,2,19,75,83,38,104,8,44
Thailand,Serbia,Women,Pool 2,3,5,"[25, 25, 25, 20, 15]",81,12,4,13,110,75,101,164,15,107
Serbia,Thailand,Women,Pool 2,2,5,"[23, 27, 20, 25, 12]",67,17,8,15,107,59,103,152,13,110
Bulgaria,Netherlands,Women,Pool 2,3,5,"[25, 12, 19, 25, 15]",65,11,6,14,96,114,81,161,22,87
Netherlands,Bulgaria,Women,Pool 2,2,5,"[15, 25, 25, 15, 7]",53,10,2,22,87,132,86,143,14,96
Belgium,Italy,Women,Pool 2,1,4,"[25, 19, 23, 20]",52,9,4,22,87,65,84,131,26,96
Italy,Belgium,Women,Pool 2,3,4,"[21, 25, 25, 25]",56,9,5,26,96,58,78,119,22,87
Brazil,Poland,Women,Pool 1,3,3,"[25, 25, 25]",32,12,5,26,75,51,55,84,9,66
Poland,Brazil,Women,Pool 1,0,3,"[23, 21, 22]",49,6,2,9,66,56,68,106,26,75
Germany,Japan,Women,Pool 1,2,5,"[27, 25, 20, 22, 12]",71,6,6,23,106,117,103,177,34,113
Japan,Germany,Women,Pool 1,3,5,"[25, 23, 25, 25, 15]",74,1,4,34,113,125,94,183,23,106
Canada,Dominican Republic,Women,Pool 1,3,3,"[25, 25, 25]",43,9,8,15,75,61,44,82,16,51
Dominican Republic,Canada,Women,Pool 1,0,3,"[18, 15, 18]",26,4,5,16,51,50,67,95,15,75
Serbia,Bulgaria,Women,Pool 2,3,3,"[26, 25, 26]",50,8,4,15,77,70,59,111,18,64
Bulgaria,Serbia,Women,Pool 2,0,3,"[24, 15, 24]",39,4,3,18,64,68,70,110,15,77
Netherlands,Italy,Women,Pool 2,0,3,"[19, 15, 15]",28,3,2,16,49,58,65,83,12,75
Italy,Netherlands,Women,Pool 2,3,3,"[25, 25, 25]",50,10,3,12,75,61,47,92,16,49
Türkiye,China,Women,Pool 2,1,4,"[16, 25, 16, 22]",49,5,2,23,79,65,85,120,29,95
China,Türkiye,Women,Pool 2,3,4,"[25, 20, 25, 25]",54,9,3,29,95,65,70,102,23,79
Germany,Korea,Women,Pool 1,3,3,"[25, 25, 25]",45,6,5,19,75,62,46,86,10,53
