first_name,last_name,nationality,position,opponent,match_date,points_scored,attack_kills,attack_faults,attack_shots,block_kills,block_faults,block_rebounds,serve_aces,serve_errors,serve_attempts,rec_excellents,rec_faults,rec_attempts,dig_excellents,dig_faults,dig_attempts,set_excellents,set_faults,set_stills
Elise,Van Sas,Belgium,Setter,Japan,03/07/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Elise,Van Sas,Belgium,Setter,Netherlands,01/07/2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Elise,Van Sas,Belgium,Setter,Germany,30/06/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Elise,Van Sas,Belgium,Setter,United States,30/06/2022,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,11
Elise,Van Sas,Belgium,Setter,Türkiye,05/06/2022,0,0,0,1,0,2,2,0,0,1,0,0,0,2,0,1,7,1,14
Elise,Van Sas,Belgium,Setter,Thailand,04/06/2022,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Elise,Van Sas,Belgium,Setter,Italy,02/06/2022,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,0,14
Elise,Van Sas,Belgium,Setter,Serbia,01/06/2022,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Britt,Herbots,Belgium,Outside Hitter,Japan,03/07/2022,29,29,3,35,0,2,1,0,3,14,8,0,7,11,1,0,0,0,7
Britt,Herbots,Belgium,Outside Hitter,Netherlands,01/07/2022,31,28,11,47,1,3,0,2,2,12,16,1,19,6,1,0,0,1,4
Britt,Herbots,Belgium,Outside Hitter,Germany,30/06/2022,34,33,6,43,1,2,1,0,1,13,2,0,9,8,2,0,0,0,6
Britt,Herbots,Belgium,Outside Hitter,United States,30/06/2022,18,16,5,16,1,4,0,1,0,11,5,0,8,2,3,0,0,0,3
Britt,Herbots,Belgium,Outside Hitter,Bulgaria,19/06/2022,26,23,11,50,3,4,5,0,3,21,7,1,27,12,3,1,0,0,2
Britt,Herbots,Belgium,Outside Hitter,Poland,18/06/2022,33,33,8,43,0,0,6,0,2,14,4,1,9,7,0,1,1,0,2
Britt,Herbots,Belgium,Outside Hitter,Canada,16/06/2022,29,24,4,31,4,1,2,1,0,11,1,0,7,7,5,0,0,0,1
Britt,Herbots,Belgium,Outside Hitter,China,15/06/2022,6,5,4,2,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
Britt,Herbots,Belgium,Outside Hitter,Türkiye,05/06/2022,20,18,9,32,1,1,2,1,1,12,6,0,20,11,2,2,0,0,2
Britt,Herbots,Belgium,Outside Hitter,Thailand,04/06/2022,23,22,10,34,1,3,5,0,1,21,4,0,15,14,4,1,0,0,3
Britt,Herbots,Belgium,Outside Hitter,Italy,02/06/2022,26,24,6,25,2,4,1,0,4,10,2,1,23,7,4,1,0,0,1
Britt,Herbots,Belgium,Outside Hitter,Serbia,01/06/2022,31,27,6,42,1,3,4,3,2,10,5,1,18,4,1,1,0,0,2
Nathalie,Lemmens,Belgium,Middle blocker,Japan,03/07/2022,8,6,2,3,2,9,4,0,0,16,0,0,0,2,0,0,0,0,2
Nathalie,Lemmens,Belgium,Middle blocker,Netherlands,01/07/2022,2,0,0,5,2,3,3,0,1,11,0,0,0,0,1,0,0,0,1
Nathalie,Lemmens,Belgium,Middle blocker,Germany,30/06/2022,6,5,1,4,1,5,1,0,2,8,0,0,0,3,1,0,0,0,1
Nathalie,Lemmens,Belgium,Middle blocker,United States,30/06/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathalie,Lemmens,Belgium,Middle blocker,Bulgaria,19/06/2022,8,5,3,4,3,1,7,0,1,8,0,0,0,1,0,0,0,0,6
Nathalie,Lemmens,Belgium,Middle blocker,Poland,18/06/2022,8,6,0,5,2,4,4,0,1,15,0,0,1,3,1,0,0,0,2
Nathalie,Lemmens,Belgium,Middle blocker,Canada,16/06/2022,2,1,1,4,0,3,5,1,0,18,0,0,0,3,0,0,0,0,2
Nathalie,Lemmens,Belgium,Middle blocker,China,15/06/2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nathalie,Lemmens,Belgium,Middle blocker,Türkiye,05/06/2022,9,5,0,6,2,6,9,2,0,10,0,0,0,2,0,2,1,0,2
Nathalie,Lemmens,Belgium,Middle blocker,Thailand,04/06/2022,10,10,0,1,0,8,7,0,1,10,0,0,0,2,1,0,0,0,2
Nathalie,Lemmens,Belgium,Middle blocker,Italy,02/06/2022,8,4,2,4,4,3,8,0,1,9,0,0,0,2,2,1,0,0,3
Nathalie,Lemmens,Belgium,Middle blocker,Serbia,01/06/2022,2,1,0,2,1,3,4,0,0,4,0,0,0,0,1,0,0,0,2
Jodie,Guilliams,Belgium,Outside Hitter,Japan,03/07/2022,3,3,5,10,0,2,1,0,0,6,12,0,12,5,1,1,0,0,1
Jodie,Guilliams,Belgium,Outside Hitter,Netherlands,01/07/2022,13,12,4,16,1,1,2,0,2,12,14,3,25,16,1,1,0,0,3
Jodie,Guilliams,Belgium,Outside Hitter,Germany,30/06/2022,8,8,2,8,0,1,0,0,2,15,9,2,16,12,1,0,0,0,4
Jodie,Guilliams,Belgium,Outside Hitter,United States,30/06/2022,6,4,4,14,0,3,0,2,0,8,7,0,17,2,0,0,0,0,0
