player_number,first_name,last_name,position,nationality,age,birthdate,height_cm,weight_kg
2,Elise,Van Sas,Setter,Belgium,24,01/08/1997,188,73
3,Britt,Herbots,Outside Hitter,Belgium,22,24/09/1999,182,63
4,Nathalie,Lemmens,Middle blocker,Belgium,27,12/03/1995,192,85
5,Jodie,Guilliams,Outside Hitter,Belgium,25,26/04/1997,180,73
7,Celine,Van Gestel,Outside Hitter,Belgium,24,07/11/1997,183,70
9,Nel,Demeyer,Libero,Belgium,21,21/03/2001,175,76
10,Pauline,Martin,Opposite spiker,Belgium,19,04/09/2002,185,78
11,Stien,Goris,Outside Hitter,Belgium,21,01/07/2001,185,68
12,Charlotte,Krenicky,Setter,Belgium,22,29/06/2000,189,80
13,Marlies,Janssens,Middle blocker,Belgium,25,04/06/1997,193,79
15,Jutta,Van De Vyver,Setter,Belgium,26,11/06/1996,173,72
18,Britt,Rampelberg,Libero,Belgium,22,05/06/2000,165,58
19,Silke,Van Avermaet,Middle blocker,Belgium,23,02/06/1999,192,76
21,Manon,Stragier,Outside Hitter,Belgium,23,12/03/1999,182,69
22,Anna,Koulberg,Middle blocker,Belgium,17,17/08/2004,188,67
2,Diana,Duarte Alecrim,Middle blocker,Brazil,23,22/02/1999,194,69
3,Julia,Gambatto Kudiess,Middle blocker,Brazil,19,02/01/2003,192,82
4,Ana Carolina,Da Silva,Middle blocker,Brazil,31,08/04/1991,183,73
5,Priscila,Zalewski Daroit Moreira,Outside Hitter,Brazil,33,10/08/1988,184,75
6,Nyeme Victoria,Alexandre Costa Nunes,Libero,Brazil,23,11/10/1998,175,79
7,Rosamaria,Montibeller,Outside Hitter,Brazil,28,09/04/1994,185,76
8,Macris Fernanda,Silva Carneiro,Setter,Brazil,33,03/03/1989,178,64
9,Roberta Silva,Ratzke,Setter,Brazil,32,28/04/1990,185,71
10,Gabriela,Braga Guimaraes,Outside Hitter,Brazil,28,19/05/1994,180,65
11,Karina,Barbosa De Souza,Outside Hitter,Brazil,23,30/11/1998,182,65
12,Ana Cristina,Menezes Oliveira de Souza,Outside Hitter,Brazil,18,07/04/2004,192,79
14,Natália,Araujo,Libero,Brazil,25,10/04/1997,162,59
15,Lorena Giovana,Viezel,Middle blocker,Brazil,23,21/07/1999,190,76
16,Kisy,Nascimento,Opposite spiker,Brazil,22,28/01/2000,191,81
17,Julia Isabelle,Bergmann,Outside Hitter,Brazil,21,21/02/2001,196,78
18,Mayany Cristina,Araujo De Souza,Middle blocker,Brazil,25,24/11/1996,185,72
20,Lorrayna,Da Silva,Opposite spiker,Brazil,23,19/06/1999,185,62
24,Lorenne,Geraldo Teixeira,Opposite spiker,Brazil,26,08/01/1996,187,72
1,Gergana,Dimitrova,Outside Hitter,Bulgaria,26,28/02/1996,184,71
2,Nasya,Dimitrova,Middle blocker,Bulgaria,29,06/11/1992,190,70
3,Polina,Neykova,Universal,Bulgaria,23,07/10/1998,182,73
5,Maria,Yordanova,Opposite spiker,Bulgaria,20,25/05/2002,181,72
6,Miroslava,Paskova,Outside Hitter,Bulgaria,26,16/02/1996,180,67
7,Lora,Kitipova,Setter,Bulgaria,31,19/05/1991,184,66
8,Petya,Barakova,Setter,Bulgaria,28,18/06/1994,180,76
9,Borislava,Saykova,Middle blocker,Bulgaria,22,14/07/2000,187,80
10,Mira,Todorova,Middle blocker,Bulgaria,28,12/04/1994,187,73
11,Hristina Hristova,Vuchkova,Middle blocker,Bulgaria,30,01/10/1991,190,77
15,Zhana,Todorova,Libero,Bulgaria,25,06/01/1997,170,56
17,Radostina,Marinova,Opposite spiker,Bulgaria,23,02/10/1998,186,65
18,Silvana,Chausheva,Outside Hitter,Bulgaria,27,19/05/1995,188,75
19,Aleksandra,Milanova,Outside Hitter,Bulgaria,21,04/07/2001,180,72
26,Mirela,Shahpazova,Universal,Bulgaria,24,28/10/1997,175,65
28,Mariya,Krivoshiyska,Middle blocker,Bulgaria,20,06/09/2001,186,58
29,Ralitsa,Vasileva,Opposite spiker,Bulgaria,30,17/03/1992,187,68
1,Allyssah Marie,Fitterer,Middle blocker,Canada,27,27/05/1995,189,82
3,Kiera,Van Ryk,Outside Hitter,Canada,23,06/01/1999,188,85
5,Julia,Murmann,Libero,Canada,19,10/11/2002,181,76
6,Jazmine Ruth,White,Middle blocker,Canada,28,14/12/1993,186,80
8,Alicia,Ogoms,Middle blocker,Canada,28,02/04/1994,194,82
9,Alexa,Gray,Outside Hitter,Canada,27,07/08/1994,185,75
10,Courtney,Baker,Setter,Canada,25,14/07/1997,180,68
11,Andrea,Mitrovic,Outside Hitter,Canada,23,03/06/1999,187,70
12,Jennifer,Cross,Middle blocker,Canada,30,04/07/1992,194,91
13,Brie,King,Setter,Canada,24,24/01/1998,183,70
14,Hilary,Howe,Outside Hitter,Canada,24,16/06/1998,185,77
16,Caroline,Livingston,Outside Hitter,Canada,26,02/04/1996,188,65
17,Katerina,Georgiadis,Libero,Canada,20,07/01/2002,168,54
18,Kim,Robitaille,Setter,Canada,30,16/10/1991,179,59
19,Emily,Maglio,Middle blocker,Canada,25,13/11/1996,189,82
20,Arielle,Palermo,Libero,Canada,21,09/11/2000,170,55
25,Sydney,Grills,Opposite spiker,Canada,22,09/02/2000,192,85
1,Xinyue,Yuan,Middle blocker,China,25,21/12/1996,201,78
3,Linyu,Diao,Setter,China,28,07/04/1994,182,69
4,Hanyu,Yang,Middle blocker,China,22,12/10/1999,192,72
5,Yi,Gao,Middle blocker,China,24,22/07/1998,193,66
6,Xiangyu,Gong,Opposite spiker,China,25,21/04/1997,186,72
7,Yuanyuan,Wang,Middle blocker,China,25,14/07/1997,195,75
8,Ye,Jin,Outside Hitter,China,26,01/03/1996,187,77
10,Yunlu,Wang,Outside Hitter,China,26,20/05/1996,192,82
11,Yizhu,Wang,Outside Hitter,China,21,23/03/2001,189,75
12,Yingying,Li,Outside Hitter,China,22,19/02/2000,192,71
13,Yaqian,Cai,Setter,China,24,29/06/1998,179,69
